source_id,ra,dec,pmra,pmdec,parallax,parallax_error,phot_g_mean_mag
68281355712218752,55.293360,24.325272,-8.6,-16.4,2.1,0.1,16.0
68216076505503616,54.618290,24.093566,1.5,-2.7,0.5,0.1,15.9
68241635855413760,54.639797,24.232737,4.5,0.5,0.6,0.1,17.0
68381789228191616,55.413168,24.882062,41.6,-10.2,2.3,0.4,19.1
68358360182611072,55.272828,24.813372,3.8,-1.0,0.6,0.1,15.8
68334235349446528,55.128108,24.487120,22.0,-43.8,7.2,0.1,11.5
68362066738374016,55.229325,24.890705,8.5,1.3,1.0,0.2,17.7
68184431186651648,55.058529,24.140437,0.9,-2.8,0.6,0.1,16.1
68244148411732864,54.764623,24.344525,9.2,-28.8,2.6,0.2,18.1
68168728786221440,55.326980,24.031495,8.1,-6.2,1.1,0.1,16.0
68234007992862720,55.116846,24.286392,4.4,-6.2,1.4,0.2,18.5
68356122503332992,55.203429,24.733649,-4.4,-8.1,1.1,0.2,17.4
68221432329245312,54.457832,24.202606,20.8,3.2,1.7,0.3,18.1
68334755040765440,55.197876,24.495385,5.5,-7.7,2.0,0.4,18.8
68386981844597504,55.282131,24.986503,0.0,-0.6,0.7,0.0,14.7
68236653692727936,54.977841,24.308412,2.0,-6.6,0.8,0.1,17.0
68282150282958080,55.346677,24.327969,15.4,-20.8,4.1,0.1,17.1
68229167565892096,54.830069,24.153252,0.5,7.8,1.8,0.1,15.5
68212120840080768,54.348979,24.031087,10.1,-1.7,1.3,0.1,17.7
68386432088784000,55.244142,24.946823,0.3,-3.3,1.0,0.1,16.5
68386706966690816,55.223486,24.960062,-2.7,2.9,1.2,0.1,16.4
68183602256599168,55.173496,24.114407,0.6,3.7,2.3,0.1,15.7
68283043636154368,55.315055,24.352985,-2.4,-10.6,1.0,0.1,16.6
68345436624712576,55.342314,24.747796,5.5,-12.7,1.4,0.2,18.0
68353171860245760,55.045633,24.719215,18.6,-22.9,8.8,0.1,16.5
68249710393331712,54.870101,24.366735,-5.6,-1.9,0.8,0.1,16.5
68346055099442944,55.020870,24.513459,-9.4,-10.8,1.5,0.0,12.4
68169617843079168,55.379781,24.105548,10.1,-6.1,1.6,0.2,18.4
68241567135934720,54.612111,24.225328,-3.3,0.0,3.8,0.2,17.5
68224391562260992,54.873069,24.103440,6.0,1.4,0.7,0.1,17.0
68185221460637824,55.193029,24.156995,21.1,-45.5,7.2,0.1,16.6
68184774783903744,55.117438,24.173190,-3.8,-1.3,0.7,0.0,13.3
68281630589977472,55.271677,24.342428,0.1,-0.6,0.4,0.0,12.6
68224769519383936,54.926506,24.071036,3.6,-6.5,2.7,0.1,10.6
68224559064733312,54.843376,24.111005,10.1,-14.4,2.4,0.4,18.4
68180960853080320,55.304730,24.100849,0.2,-7.0,1.0,0.1,15.9
68411304243077504,54.427763,24.347265,10.4,-11.4,2.4,0.1,12.6
68222841078439936,54.814645,24.012937,-1.2,2.2,1.4,0.1,16.4
68331971903577600,55.277312,24.480429,-4.0,-33.2,2.6,0.1,16.4
68351419515398144,54.871816,24.611422,9.0,-8.4,1.3,0.0,14.8
68345990676737024,54.988051,24.509221,3.3,-11.1,0.6,0.1,16.6
68346025036475136,55.000224,24.515337,5.4,-5.7,0.6,0.1,16.5
68346025036475008,54.994532,24.518172,7.6,2.2,1.2,0.2,17.9
68347090188364672,54.943363,24.539451,16.5,-2.0,2.9,0.1,15.8
68185015302070528,55.121392,24.196319,7.2,-5.1,0.7,0.1,14.5
68224937021854208,54.955581,24.110108,4.9,-4.9,2.4,0.4,18.7
68246725392113408,54.675551,24.315832,3.3,1.1,1.7,0.1,15.9
68208964039674240,54.417973,24.012457,-0.5,-1.6,0.7,0.0,15.0
68209170198104576,54.406935,24.017535,-1.4,-5.2,0.9,0.0,15.5
68409929853636224,54.401515,24.279682,89.1,-233.6,12.0,0.1,16.1
68186492770819968,55.129395,24.194459,2.5,-6.8,0.8,0.0,14.0
68347261987055360,54.983673,24.575518,-5.0,-17.9,3.9,0.1,17.1
68254658195689472,54.684992,24.446345,10.1,-6.5,1.4,0.2,18.2
68214083640688640,54.464022,24.024842,5.6,1.2,0.5,0.1,16.0
68243078963803520,54.828503,24.308678,-4.9,-6.3,1.5,0.3,18.7
68347674303915136,54.997471,24.584845,0.5,4.3,2.5,0.0,11.2
68351110277750784,54.972221,24.652895,2.6,-1.8,0.6,0.1,15.4
68347605584438528,55.008308,24.578158,4.8,3.2,1.5,0.0,14.4
68208929679935104,54.436346,24.013927,27.0,-1.4,4.1,0.0,10.7
68230095278817792,54.896174,24.230007,56.7,-95.1,20.3,0.1,15.8
68347674303914880,54.993992,24.596662,-1.6,4.5,1.1,0.1,16.2
68279946962801408,55.264893,24.240814,1.4,-1.3,0.5,0.0,12.6
68222119524026112,54.528927,24.248617,23.3,-46.9,7.6,0.3,18.1
68251325301058688,54.957558,24.424938,14.2,-11.1,3.0,0.4,18.9
68212193855079552,54.385295,24.045332,-3.0,-1.8,0.4,0.0,12.6
68180819117776128,55.287743,24.081997,7.0,-4.3,2.5,0.2,18.6
68281600527146880,55.262670,24.326113,5.8,2.1,0.9,0.0,15.6
68380827154656768,55.370091,24.801662,-1.3,-17.6,3.9,0.0,11.8
68344989948090368,55.341615,24.723359,1.4,-1.9,2.7,0.4,19.0
68223807446716672,54.816886,24.048303,-9.7,0.7,1.1,0.0,14.7
68281218273261440,55.247651,24.320761,2.5,-6.9,1.3,0.2,18.2
68235244943462400,55.109068,24.326927,2.6,4.3,1.5,0.2,17.5
68349735888301952,55.123343,24.676981,4.6,-1.9,0.5,0.1,16.3
68263660446873984,55.406902,24.152201,0.5,-20.9,2.0,0.3,18.6
68187008166886016,55.210912,24.261521,-1.7,-5.0,0.7,0.1,17.1
68186114813688320,55.251457,24.241758,1.5,-2.4,0.7,0.0,13.2
68211747178484864,54.340895,24.027886,-5.1,-2.4,0.7,0.0,15.3
68246033901941248,54.552137,24.312427,14.7,-13.9,2.4,0.3,18.7
68229923480129920,54.865480,24.203465,-6.7,-6.6,2.6,0.2,17.4
68362655149834368,55.150827,24.902182,1.0,-1.6,0.7,0.0,11.6
68361933595328768,55.208290,24.862599,0.6,3.4,0.5,0.1,15.3
68212571812199808,54.369101,24.082775,-0.3,7.1,1.0,0.1,16.8
68211678459008768,54.347209,24.012882,-1.6,-2.5,0.4,0.1,16.4
68186114813689344,55.251689,24.226273,20.1,-44.9,7.2,0.1,17.0
68359077440853248,55.131987,24.756963,22.0,-39.6,2.2,0.3,18.6
68250023926991616,54.807005,24.357722,10.6,-10.5,1.1,0.1,14.5
68362380271927808,55.170137,24.877137,6.4,-17.4,1.2,0.2,17.7
68361555638207104,55.196981,24.854423,2.0,-7.9,0.9,0.0,14.7
68263660446873344,55.406065,24.150161,6.3,-6.0,0.8,0.1,17.2
68233904913640448,55.110585,24.267249,-1.3,-2.6,0.6,0.1,16.5
68234115368335232,55.139882,24.275389,30.8,-18.3,0.7,0.1,17.0
68281153850550144,55.211777,24.307201,55.6,-23.1,4.4,0.4,19.0
68240742502207872,54.706365,24.203775,-4.4,-22.2,3.4,0.1,15.9
68361383839516032,55.160403,24.828410,1.9,-4.9,1.1,0.2,17.6
68360731004487296,55.132678,24.835179,3.4,-12.5,1.3,0.1,17.3
68223498209065984,54.893635,24.073474,2.4,-1.0,0.3,0.1,15.5
68361418199254016,55.174727,24.833615,8.2,-14.7,0.8,0.1,15.1
68338976993739904,55.357833,24.607193,-2.6,-2.0,1.9,0.3,18.6
68186802008457600,55.203692,24.240706,21.5,-2.6,0.8,0.1,17.4
68234489028936832,55.170760,24.315895,6.1,-11.1,2.1,0.0,12.6
68169342965162368,55.403584,24.084251,14.1,-13.0,1.4,0.3,18.5
68341485254614656,55.302423,24.586782,11.0,-12.0,2.2,0.3,18.4
68360627925272576,55.134128,24.823264,8.2,-7.4,1.1,0.0,12.5
68278920467551872,55.382436,24.300506,3.2,-30.1,3.2,0.1,17.4
68244075396224384,54.775627,24.319911,0.4,3.9,0.9,0.2,17.6
68360593565534464,55.114090,24.820520,5.6,-8.9,1.0,0.1,15.7
68230881256410496,54.866562,24.240673,11.3,-4.9,4.0,0.1,11.6
68360834083703168,55.080049,24.827578,4.1,-6.7,1.1,0.1,16.3
68382098465644928,55.358171,24.869934,-5.7,-8.7,0.8,0.1,17.1
68359322255216512,55.092828,24.767423,10.2,1.6,1.6,0.0,13.2
68177731037557504,54.963629,24.055940,8.6,-4.0,0.7,0.1,17.0
68360249968152064,55.056564,24.791110,-0.4,-2.9,1.0,0.1,16.5
68359253535739520,55.110104,24.763926,0.1,-0.9,0.4,0.1,15.6
68360078169460480,55.080093,24.777430,0.2,-7.7,0.6,0.1,15.3
68333243212294016,55.169492,24.473124,-0.0,0.2,0.7,0.1,16.6
68280810253167360,55.249582,24.273539,-7.9,-3.7,1.1,0.1,16.4
68360146888936832,55.072335,24.784506,-5.1,-14.6,3.0,0.3,18.0
68281050771336064,55.226149,24.284579,3.1,-9.0,1.2,0.2,17.7
68360146888936704,55.076515,24.786721,5.2,-9.0,1.4,0.0,13.6
68280982050269696,55.251830,24.292784,29.7,-21.3,5.2,0.1,15.9
68349426650569728,55.054347,24.649516,9.7,0.5,0.9,0.1,15.5
68358841218880128,55.107857,24.723827,-0.7,-0.1,0.5,0.1,15.5
68330528794575616,55.265997,24.404365,13.8,-5.3,2.8,0.5,19.6
68352656465976064,55.018745,24.673721,-14.7,-13.1,1.0,0.1,15.6
68330219556929536,55.196043,24.450554,8.4,-4.6,0.9,0.0,14.5
68352381588068992,55.043548,24.662998,5.2,-13.5,0.5,0.1,16.6
68359322255216640,55.094003,24.766828,0.2,-0.0,0.6,0.1,16.3
68352450307545600,55.033909,24.670693,1.6,-5.7,0.6,0.1,16.3
68352209789378048,54.933423,24.698617,-0.5,-1.1,0.5,0.1,16.1
68349461010307456,55.068603,24.655950,3.1,-0.4,0.5,0.1,16.2
68232225582588928,55.042707,24.223564,34.9,-20.6,1.3,0.1,16.5
68227548361975424,54.803129,24.120825,20.8,-7.6,3.7,0.5,18.0
68282012844002048,55.390832,24.320771,-3.2,-4.6,1.0,0.0,15.0
68328119316136064,55.184441,24.323508,2.0,-2.6,3.2,0.3,19.0
68352278508854912,55.034714,24.640152,6.4,-7.4,0.9,0.1,16.7
68216621965849984,54.654713,24.133512,4.3,-5.3,0.6,0.1,16.6
68409689335445760,54.384820,24.240546,-2.6,-7.1,1.3,0.1,15.5
68354374452892160,55.007851,24.773721,22.0,-46.5,7.6,0.1,16.4
68178246433629696,55.000106,24.080195,3.8,-4.4,0.5,0.1,16.0
68328776447921024,55.273962,24.378063,20.3,-5.5,2.6,0.4,18.7
68328707726848512,55.233788,24.366638,10.2,-45.9,2.6,0.1,16.8
68174050249296256,55.094041,24.037658,-4.9,0.1,1.0,0.2,17.9
68219370744919168,54.388250,24.128773,3.7,1.6,0.6,0.0,15.0
68353171862049920,55.045738,24.718949,18.6,-27.0,8.7,0.1,16.9
68216621965849088,54.649463,24.132288,4.6,-8.8,2.2,0.4,18.5
68352862624405248,55.058930,24.684514,-2.0,-0.8,0.6,0.1,16.3
68350010766119808,55.106879,24.702646,2.3,-8.1,0.9,0.0,13.1
68353068782835328,55.039059,24.699445,2.5,-0.9,0.4,0.0,14.6
68177451863392256,54.994633,24.030836,-1.2,-26.0,3.7,0.2,18.1
68340454462519936,55.400679,24.631075,26.4,-26.6,2.9,0.4,19.0
68235455397983360,55.104148,24.334896,12.8,-8.6,0.8,0.1,14.9
68357531252653312,55.301635,24.787606,3.1,-29.4,2.3,0.2,18.3
68357531252653440,55.298079,24.787624,85.5,-69.0,10.2,0.4,19.1
68167904152457472,55.345087,24.019778,18.9,-7.2,1.1,0.1,15.8
68232706618930176,54.960381,24.220695,-8.2,-2.9,1.5,0.1,16.2
68234458965571200,55.150048,24.301289,2.4,-2.8,1.6,0.2,17.9
68167835432980480,55.362086,24.017189,20.7,-45.1,7.4,0.1,15.5
68235558477197312,55.102404,24.347688,10.2,-4.6,1.5,0.0,15.2
68238513414698240,55.055880,24.356394,4.0,-4.5,1.6,0.1,17.0
68249920847771776,54.877326,24.406803,1.7,-2.3,0.8,0.0,15.0
68235558477197568,55.101791,24.344310,3.7,-6.3,0.7,0.1,15.4
68238234240706432,54.989995,24.340357,-8.4,1.8,2.0,0.3,18.5
68222226898849664,54.473646,24.241732,-16.3,-15.0,3.1,0.1,14.7
68235348022682240,55.125639,24.336684,-4.2,-9.4,1.5,0.2,18.1
68183842774780160,55.134638,24.143004,5.7,-2.1,0.9,0.1,16.3
68253872217683968,54.815562,24.438776,0.8,0.4,0.4,0.1,15.5
68368766887085312,55.425003,24.772895,-2.0,-6.4,2.2,0.3,18.5
68216140929499520,54.603896,24.098728,0.9,-11.8,1.6,0.3,18.8
68381892307391232,55.409120,24.900336,11.2,-11.6,1.1,0.1,12.3
68251638834753024,54.979415,24.425719,-2.0,-6.4,1.6,0.2,16.0
68221947725326720,54.499880,24.223968,37.7,-32.7,2.0,0.3,18.5
68233634331856768,55.126499,24.238976,7.1,-1.9,0.9,0.0,11.6
68239372408159360,54.946652,24.385496,60.5,-58.9,2.9,0.1,14.6
68238440399138176,55.063691,24.343038,3.5,-5.9,0.5,0.1,16.0
68239372408159232,54.946612,24.387040,-1.6,-5.2,0.7,0.0,14.9
68234424605833344,55.121899,24.309024,5.5,-7.0,0.8,0.1,17.2
68407971348517376,54.366408,24.216165,17.5,-7.8,3.6,0.5,19.1
68167251317432064,55.262288,24.008578,1.5,-3.7,0.5,0.1,16.5
68381862241932544,55.407495,24.888733,12.0,-18.0,3.4,0.5,13.6
68240605063255424,54.669891,24.207845,2.5,-6.9,0.9,0.2,17.6
68226483210101632,54.953049,24.154167,24.6,-25.5,2.3,0.5,18.7
68351002902211200,54.977035,24.636990,5.6,-12.7,1.4,0.2,18.1
68335541019811200,55.202973,24.535477,-9.4,-4.1,2.6,0.3,18.4
68328364131066624,55.181013,24.338869,12.3,-10.7,0.6,0.0,15.1
68234905642174208,55.051488,24.299919,18.1,-19.0,2.3,0.0,14.0
68255487125385600,54.842175,24.462698,17.8,-16.5,1.1,0.1,17.3
68234905642173824,55.058501,24.298403,10.0,-21.4,2.3,0.1,15.5
68251982432070528,54.939722,24.459050,5.0,-7.7,1.5,0.1,17.0
68168385188790912,55.401958,24.050751,41.6,-5.7,0.8,0.1,17.4
68169244182250368,55.361295,24.067686,4.0,-2.0,0.5,0.1,16.3
68289911287175168,55.372644,24.458862,33.4,-39.2,3.6,0.3,18.8
68168419548529920,55.380090,24.056744,21.7,-47.6,7.9,0.1,17.2
68251226517894016,54.949963,24.413579,-2.2,-3.8,0.7,0.1,15.9
68251226517893632,54.955440,24.415237,21.7,-7.1,3.1,0.0,13.1
68385603159177344,55.258338,24.922460,18.8,-39.9,6.4,0.2,17.0
68381759162723712,55.399774,24.880573,44.4,-83.2,3.2,0.6,19.4
68239784725014528,55.043117,24.435056,8.5,0.2,0.5,0.1,16.0
68239784725014656,55.043623,24.430578,-3.4,-7.2,1.5,0.1,17.2
68359970794065152,55.077694,24.772699,11.9,-9.8,0.9,0.1,17.1
68387428521249664,55.375237,24.964597,4.8,3.3,1.5,0.1,15.6
68228098118462592,54.715591,24.127389,12.3,0.6,1.4,0.2,18.2
68238891371817600,55.068282,24.400159,10.6,-1.5,1.2,0.1,17.3
68169106743298304,55.320669,24.069331,4.8,-8.4,0.7,0.1,16.3
68239750365277056,55.022184,24.417451,19.4,-8.8,2.1,0.1,16.9
68164743056526976,55.415642,24.000237,8.6,-8.6,0.8,0.1,16.1
68221844645719424,54.456986,24.236962,-6.3,-14.2,2.1,0.2,13.1
68238857012080000,55.062160,24.384681,14.9,-19.2,1.1,0.1,17.3
68239647286062208,55.019900,24.407219,-0.6,-4.4,0.9,0.1,16.1
68387084923866880,55.295218,24.992853,5.2,-2.5,2.6,0.0,13.6
68168041591409280,55.374999,24.039888,11.7,-0.6,0.8,0.1,16.6
68187278748420608,55.188237,24.284150,6.4,-10.1,1.0,0.0,12.6
68168041591409152,55.371120,24.042424,1.6,0.9,1.9,0.1,15.6
68202603192237184,54.590915,24.028314,-2.9,-4.0,0.8,0.1,11.8
68336576108514560,55.177432,24.579268,2.1,-6.5,0.5,0.0,14.9
68219233305959296,54.378237,24.113367,29.7,-16.4,2.8,0.4,19.3
68238788292603776,55.031093,24.387229,9.8,-8.0,1.7,0.0,14.6
68280191776283136,55.284583,24.293585,44.4,-28.0,3.9,0.6,19.8
68233531252642432,55.112403,24.237146,20.7,-45.6,7.5,0.1,16.5
68221260530167424,54.528715,24.225794,1.4,-0.8,0.8,0.0,15.2
68179105427168128,55.243292,24.031906,-4.7,-3.7,0.8,0.1,17.3
68384439224011520,55.395860,24.954802,0.1,2.6,0.8,0.1,16.2
68231194790369280,54.852372,24.276752,2.9,-12.6,1.7,0.0,12.9
68249130573793152,54.868999,24.341581,4.7,0.9,1.5,0.2,18.1
68231160430631168,54.847364,24.269134,1.4,-12.4,1.3,0.1,15.5
68256552277271040,54.885076,24.570595,50.9,-103.9,2.9,0.0,12.9
68250127006205696,54.829432,24.367508,-33.4,-46.6,4.9,0.0,14.1
68254765570883712,54.690689,24.467578,20.5,-46.5,7.4,0.2,17.4
68387772118631040,55.347707,24.994661,23.1,-7.9,1.9,0.0,13.7
68249405451699328,54.842712,24.370416,-0.5,-7.4,2.2,0.1,16.1
68231160430631680,54.836700,24.263205,0.3,-3.4,0.9,0.1,14.6
68249508530914304,54.875750,24.354512,13.7,-5.3,1.4,0.1,16.3
68244388929900416,54.772845,24.357991,-2.6,-6.0,1.3,0.0,13.5
68226277051675008,54.875371,24.160358,-5.2,-1.5,1.8,0.2,17.7
68249405451699072,54.842525,24.372600,-0.1,-5.8,1.1,0.1,16.5
68387703399154944,55.355584,24.988037,-2.5,-5.9,0.8,0.2,17.6
68248718256934400,54.640784,24.427037,1.0,-11.7,0.8,0.1,15.7
68217446599209856,54.544401,24.151486,3.7,-0.5,0.6,0.0,12.4
68250436243849600,54.807913,24.403803,6.2,-6.6,0.8,0.0,11.8
68248683897196288,54.638022,24.424826,13.4,-14.2,1.7,0.1,17.5
68385882333027200,55.322191,24.938748,4.7,-3.4,0.5,0.1,16.4
68238169816118784,54.997208,24.325137,31.2,-22.0,10.6,0.8,19.8
68360108233040512,55.095288,24.797040,14.4,-7.8,2.4,0.2,17.7
68381170752692224,55.331534,24.832984,-1.9,-3.7,1.9,0.2,18.0
68382618157883264,55.385634,24.899299,1.5,-6.3,0.9,0.0,14.6
68248993134841216,54.851780,24.329757,5.9,-5.1,1.1,0.0,13.7
68280775893429632,55.238757,24.265330,3.2,-5.9,1.1,0.0,14.8
68382618157882752,55.388283,24.901848,5.8,-7.3,0.8,0.1,15.5
68382961755265664,55.359910,24.924760,7.3,-21.9,2.7,0.3,18.2
68168827569071616,55.331063,24.052223,6.0,-5.1,1.1,0.1,16.5
68408078723819392,54.354564,24.211491,-1.5,-0.7,0.7,0.1,16.0
68250264445159936,54.788129,24.367629,18.8,-40.8,7.0,0.0,9.7
68182915061808000,55.105303,24.064046,2.5,-5.1,1.0,0.1,16.5
68249096214055296,54.849209,24.339100,1.3,-2.6,0.5,0.1,16.3
68328600352491392,55.245361,24.351521,2.0,-3.5,0.7,0.1,17.2
68385847973289088,55.321878,24.935620,0.3,-0.5,0.5,0.1,15.3
68253288102136832,54.750843,24.384299,16.1,-3.6,1.2,0.2,18.0
68180475520227968,55.185108,24.100839,3.0,-4.7,0.3,0.0,12.3
68279710741540608,55.297153,24.232880,-1.8,-2.5,0.7,0.1,15.9
68247927982954624,54.651523,24.372281,1.8,-8.4,0.6,0.1,15.5
68245930822314880,54.498173,24.296797,-8.5,-73.6,4.2,0.0,13.1
68409040796492544,54.353105,24.254198,16.3,-8.4,2.1,0.1,16.3
68409487473090688,54.395530,24.236404,18.2,-39.2,6.4,0.0,10.4
68243564296183168,54.741617,24.296316,11.6,-9.0,1.0,0.1,15.8
68409075156231040,54.330273,24.258481,3.6,-8.8,3.0,0.2,17.5
68336713547465856,55.197265,24.594194,3.6,-6.8,0.6,0.0,15.3
68227170405169280,54.732245,24.078169,1.0,-1.0,0.4,0.1,10.2
68248134141385600,54.591535,24.377320,7.8,-9.9,0.8,0.1,16.2
